batch_time,distribution,F_stat,p_value
60,UNIFORM,16002.064558247172,0.0
60,NORMAL,1984.4623898336106,0.0
60,EXPONENTIAL,413.8088401163767,1.0544716954985389e-306
30,UNIFORM,30530.91351771437,0.0
30,NORMAL,11908.92350131692,0.0
30,EXPONENTIAL,2275.2187106005877,0.0
10,UNIFORM,144426.59746310022,0.0
10,NORMAL,136738.8420754501,0.0
10,EXPONENTIAL,34116.96971173913,0.0
